"","American Pie (1999)","Apocalypse Now (1979)","Armageddon (1998)","Austin Powers: The Spy Who Shagged Me (1999)","Beautiful Mind, A (2001)","Breakfast Club, The (1985)","Casablanca (1942)","Clear and Present Danger (1994)","Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)","Fifth Element, The (1997)","Inception (2010)","Kill Bill: Vol. 1 (2003)","Minority Report (2002)","Outbreak (1995)","Rain Man (1988)","Stand by Me (1986)","Star Trek: Generations (1994)","Taxi Driver (1976)","Waterworld (1995)","Wizard of Oz, The (1939)"
"149",3,NA,NA,NA,NA,4,NA,NA,NA,4,5,NA,NA,NA,NA,4,NA,NA,NA,NA
"177",NA,NA,3,NA,NA,5,NA,4,NA,5,NA,NA,NA,4,NA,5,4,4,NA,NA
"200",1.5,NA,3,NA,4.5,NA,NA,NA,NA,2.5,3.5,NA,4.5,NA,NA,NA,NA,NA,NA,NA
"236",NA,5,NA,NA,NA,NA,4,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA
"240",NA,NA,NA,NA,3.5,NA,NA,NA,4,NA,NA,3,4.5,NA,NA,NA,NA,5,NA,5
"270",NA,4,NA,NA,4.5,NA,NA,NA,NA,NA,5,5,3.5,NA,NA,NA,NA,NA,NA,NA
"287",NA,NA,4,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,4.5,NA,NA,4.5
"295",NA,NA,NA,NA,4.5,NA,4,NA,3.5,3.5,NA,4,4.5,3,4.5,NA,NA,NA,3.5,4
"303",2.5,NA,NA,NA,4,3.5,NA,NA,NA,3.5,4,2,NA,NA,4,4.5,NA,NA,NA,4
"408",NA,5,4,1,NA,4,NA,NA,NA,5,NA,NA,NA,NA,3,4,NA,NA,NA,3
"426",1,NA,3.5,NA,4.5,NA,NA,NA,NA,NA,3,4,NA,NA,4,NA,NA,NA,NA,NA
"442",4.5,4.5,3.5,4.5,4.5,5,NA,4.5,NA,NA,NA,4.5,NA,NA,5,NA,NA,NA,2.5,5
"500",2,NA,NA,3.5,3.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,2
"522",3,3.5,2.5,NA,4.5,NA,NA,NA,NA,NA,3.5,4,NA,NA,4,NA,NA,NA,NA,NA
"562",4.5,4,3.5,4.5,NA,NA,NA,NA,4,NA,NA,3.5,4,4,NA,NA,NA,NA,3,NA
